group,sample_name,well,valid_partitions,volume_per_well,mastermix_volume,dead_volume,colorpair,positives_ab1,lambda_ab1,positives_ab2,lambda_ab2,positives_double,couplex_positives,random_positives,rcoverlap_positives,diff_to_obs,couplexes
ABX#1,S#2,E3,25350,18.944,1,-17.944,YR,3633,0.15477546405040776,26,0.0011051469391318847,2,0.0,4.0,0.0,4.0,0.0
ABX#1,ABC,F1,25363,19.45,1,-18.45,YR,3475,0.1474442561062581,26,0.0011045801746369932,2,0.0,4.0,0.0,4.0,0.0
ABX#1,S#1,F2,25325,18.902,1,-17.902,YR,2888,0.12125896110357814,29,0.001303909938378922,4,0.0,4.0,0.0,0.0,0.0
ABX#1,S#2,F3,25393,19.178,1,-18.178,YR,2565,0.10666093158005552,29,0.0013004159222305134,4,1.0,3.0,0.0,0.0,0.0
ABX#1,ABC,G1,25353,19.578,1,-18.578,YR,2878,0.12084950029511532,26,0.0013419642051815117,8,5.0,3.0,0.0,0.0,0.0
ABX#1,S#1,G2,25284,19.156,1,-18.156,YR,3095,0.1306201824170632,19,0.0007913270967652153,1,0.0,2.0,0.0,1.0,0.0
ABX#1,S#2,G3,25045,19.303,1,-18.303,YR,2875,0.1219792901977641,17,0.0007189647218144302,1,0.0,2.0,0.0,1.0,0.0
ABX#1,ABC,H1,25308,19.721,1,-18.721,YR,4058,0.1751401973852893,33,0.001621354779306472,8,2.0,6.0,0.0,0.0,0.0
ABX#1,S#1,H2,25219,19.408,1,-18.408,YR,4158,0.18045961706617852,26,0.001269690286829217,6,1.0,5.0,0.0,0.0,0.0
ABX#1,S#2,H3,25176,19.539,1,-18.539,YR,4130,0.1794657718925965,27,0.0013116319772272789,6,1.0,5.0,0.0,0.0,0.0
ABX#1,S#1,A2,25295,19.858,1,-18.858,OR,4807,0.21115794757259287,29,0.0014638105199225038,8,1.0,7.0,0.0,0.0,0.0
ABX#1,S#2,A3,25170,19.63,1,-18.63,OR,5084,0.22582891768997904,28,0.0012721636445789386,4,0.0,6.0,0.0,4.0,0.0
