group,sample_name,well,valid_partitions,volume_per_well,mastermix_volume,dead_volume,colorpair,positives_ab1,lambda_ab1,positives_ab2,lambda_ab2,positives_double,couplex_positives,random_positives,rcoverlap_positives,diff_to_obs,couplexes
ABX#1,S#1,E2,25237,18.618,1,-17.618,GR,2395,0.17440433404962263,5089,0.31032424672554804,1644,927.0,716.0,-1.0,0.0,51.0
ABX#1,S#2,E3,25383,19.147,1,-18.147,GR,1960,0.10881146370744865,3695,0.18808211890893212,657,279.0,375.0,-3.0,0.0,15.0
ABX#1,ABC,F1,25154,19.327,1,-18.327,GR,2645,0.1459550484839678,4818,0.2512746739625875,771,20.0,752.0,1.0,0.0,1.0
ABX#1,S#1,F2,25247,18.711,1,-17.711,GR,2522,0.17730386585703783,5102,0.3074292491524453,1580,813.0,765.0,-2.0,0.0,44.0
ABX#1,S#2,F3,25230,19.099,1,-18.099,GR,2585,0.15631314309963784,5033,0.2767237066517225,1066,296.0,772.0,2.0,0.0,16.0
ABX#1,ABC,G1,25361,19.271,1,-18.271,GR,2403,0.12308074710576555,4152,0.2042873200584978,534,0.0,543.0,0.0,81.0,0.0
ABX#1,S#1,G2,25226,19.027,1,-18.027,GR,2284,0.1585672474526909,4641,0.2745286516074472,1415,814.0,600.0,-1.0,0.0,43.0
ABX#1,S#2,G3,25317,19.199,1,-18.199,GR,2472,0.15163249067129492,4664,0.25783607976476297,1090,429.0,659.0,-2.0,0.0,23.0
ABX#1,ABC,H1,25175,19.873,1,-18.873,GR,3073,0.17653100588070636,5325,0.28939157651570646,1001,0.0,1024.0,0.0,529.0,0.0
ABX#1,S#1,H2,25234,19.524,1,-18.524,GR,2447,0.18000989295063974,5226,0.32140052724820656,1710,952.0,760.0,2.0,0.0,50.0
ABX#1,S#2,H3,25263,19.467,1,-18.467,GR,2524,0.15586083254004812,4930,0.2738578430696581,1122,390.0,730.0,-2.0,0.0,20.0
ABX#1,S#1,A2,25145,19.633,1,-18.633,YR,2703,0.16080096702233782,4217,0.23414036312282427,1032,388.0,647.0,3.0,0.0,20.0
ABX#1,S#2,A3,24935,19.748,1,-18.748,YR,2584,0.14696447778577593,4430,0.23661873565678526,824,156.0,665.0,-3.0,0.0,8.0
ABX#1,ABC,B1,25113,19.49,1,-18.49,YR,3255,0.2037415467457251,6521,0.37743029211026524,1374,0.0,1455.0,0.0,6561.0,0.0
ABX#1,S#1,B2,25235,18.76,1,-17.76,YR,3049,0.19602307942821717,5390,0.3157725654320558,1443,405.0,1041.0,3.0,0.0,22.0
ABX#1,S#2,B3,25194,19.44,1,-18.44,YR,2822,0.16461780159905537,4862,0.2649475777098722,1002,178.0,823.0,-1.0,0.0,9.0
ABX#1,ABC,C1,25300,19.318,1,-18.318,YR,3027,0.17435338714477844,5552,0.30083806295510307,1021,0.0,1052.0,0.0,961.0,0.0
ABX#1,S#1,C2,25262,18.802,1,-17.802,YR,2515,0.14670348377621067,4840,0.2593997768323142,932,222.0,709.0,-1.0,0.0,12.0
ABX#1,S#2,C3,25262,19.174,1,-18.174,YR,2668,0.15295724030540292,4947,0.26402822428249983,915,127.0,785.0,-3.0,0.0,7.0
ABX#1,ABC,D1,25163,19.355,1,-18.355,YR,3164,0.1922021050801952,6241,0.3526012954544875,1236,0.0,1307.0,0.0,5041.0,0.0
ABX#1,S#1,D2,25307,18.564,1,-17.564,YR,2790,0.1736893833658435,5373,0.3031459218183965,1245,317.0,926.0,-2.0,0.0,17.0
ABX#1,S#2,D3,25221,19.114,1,-18.114,YR,2880,0.1739116760166688,5796,0.3219241208868038,1146,72.0,1077.0,3.0,0.0,4.0
ABX#1,ABC,E1,25273,19.342,1,-18.342,YR,2694,0.1463598487949085,4797,0.24764699768811482,747,0.0,755.0,0.0,64.0,0.0
ABX#1,S#1,E2,25237,18.618,1,-17.618,YR,3207,0.20842301488962356,5192,0.31032424672554804,1541,486.0,1055.0,0.0,0.0,26.0
ABX#1,S#2,E3,25383,19.147,1,-18.147,YR,2280,0.1208310516286435,3743,0.18808211890893212,609,162.0,450.0,3.0,0.0,8.0
ABX#1,ABC,F1,25154,19.327,1,-18.327,YR,2555,0.13711576859959607,4921,0.2512746739625875,668,0.0,716.0,0.0,2304.0,0.0
ABX#1,S#1,F2,25247,18.711,1,-17.711,YR,3040,0.19025087901771975,5348,0.3074292491524453,1334,305.0,1028.0,-1.0,0.0,16.0
ABX#1,S#2,F3,25230,19.099,1,-18.099,YR,2751,0.1585864512766939,5150,0.2767237066517225,949,93.0,859.0,3.0,0.0,5.0
ABX#1,ABC,G1,25361,19.271,1,-18.271,YR,2644,0.13551051383054435,4116,0.2042873200584978,570,0.0,594.0,0.0,576.0,0.0
ABX#1,S#1,G2,25226,19.027,1,-18.027,YR,2789,0.17222444489976674,4854,0.2745286516074472,1202,393.0,808.0,-1.0,0.0,21.0
ABX#1,S#2,G3,25317,19.199,1,-18.199,YR,2704,0.1562397321773492,4796,0.25783607976476297,958,196.0,761.0,-1.0,0.0,10.0
ABX#1,ABC,H1,25175,19.873,1,-18.873,YR,3264,0.191283141265437,5207,0.28939157651570646,1119,32.0,1088.0,1.0,0.0,2.0
ABX#1,S#1,H2,25234,19.524,1,-18.524,YR,3005,0.19093427112306038,5555,0.32140052724820656,1381,311.0,1070.0,-0.0,0.0,16.0
ABX#1,S#2,H3,25263,19.467,1,-18.467,YR,2899,0.16861705765453294,5031,0.2738578430696581,1021,131.0,888.0,-2.0,0.0,7.0
