sep=,
Plate name,Plate ID,Plate type,Well,Hyperwell,Reaction Mix name,Sample name,Target names,Categories,Group,Valid partitions,Volume per well [μL],Count categories,Count random,Random variation,Lambda,Lambda error,Conc. per group [cp/µl],Conc. per group error,Concentration factor,Template volume [µl],Total volume [µl],Undiluted Conc. per group [cp/µl],Undiluted Conc. per group [cp/µl] error,Conversion factor,Conversion factor unit,Conv. Undiluted Conc. per group,Conv. Undiluted Conc. per group error,% intact,% intact error
,,,A3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,24935,19.748,2202,-,-,0.1370523032075322,0.00291621169571872,183.1065408055261,3.89615806055513,,,,-,-,,,-,-,-,-
,,,A3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,24935,19.748,3717,-,-,0.2215012188334619,0.003661827393093948,295.9331657738535,4.892326004627846,,,,-,-,,,-,-,-,-
,,,A3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,24935,19.748,14991,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,B1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25113,19.49,215,215.00000000000318,18.786345230014234,0.0,9.447639641047668E-4,0.0,1.2789457377598856,-,-,-,-,-,-,-,-,-,0.0,0.11689126619999467
,,,B1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25113,19.49,564,-,-,0.0,0.001760871809711013,0.0,2.3837271332691317,,,,-,-,,,-,-,-,-
,,,B1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25113,19.49,1302,-,-,0.0,0.002387269451455514,0.0,3.2316940588610716,,,,-,-,,,-,-,-,-
,,,B1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25113,19.49,2789,-,-,0.22282132292310064,0.004228822481585648,301.63764925618716,5.7246409622450365,,,,-,-,,,-,-,-,-
,,,B1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25113,19.49,1159,-,-,0.0,0.002295448951642267,0.0,3.1073948250451298,,,,-,-,,,-,-,-,-
,,,B1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25113,19.49,2691,-,-,0.21577802803078439,0.004222521828566299,292.10300110642464,5.716111643144855,,,,-,-,,,-,-,-,-
,,,B1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25113,19.49,5219,-,-,0.38326476340736215,0.005291080505833533,518.8331204586888,7.1626407422222655,,,,-,-,,,-,-,-,-
,,,B1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,25113,19.49,11174,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,B2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25235,18.76,554,271.62535792068036,12.23267222516287,0.011252878364075597,0.0010726875972229214,15.826009741885423,1.508624177245712,-,-,-,-,-,-,-,-,-,1.7706631091927307,0.16843929328445711
,,,B2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25235,18.76,492,-,-,0.0060980238979967405,0.001362293499236925,8.576240006649574,1.915924929843658,,,,-,-,,,-,-,-,-
,,,B2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25235,18.76,1141,-,-,0.02486130298292355,0.0018763048559778724,34.96485170050399,2.6388287484072595,,,,-,-,,,-,-,-,-
,,,B2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25235,18.76,1987,-,-,0.13859672558788377,0.003087463461640916,194.92196204214954,4.342198079527395,,,,-,-,,,-,-,-,-
,,,B2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25235,18.76,889,-,-,0.003621741380734428,0.001750149213874816,5.093604722243984,2.461403883735242,,,,-,-,,,-,-,-,-
,,,B2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25235,18.76,2557,-,-,0.17505043578541063,0.003445863358223701,246.19033570161375,4.8462504713952095,,,,-,-,,,-,-,-,-
,,,B2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25235,18.76,4249,-,-,0.27603664270432265,0.004237517265533329,388.2169925965271,5.959629825897194,,,,-,-,,,-,-,-,-
,,,B2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,25235,18.76,13366,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,B3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25194,19.44,268,148.12480560567798,9.075843671676845,0.004769440757811466,7.410862674873001E-4,6.47309284743301,1.005803502128854,-,-,-,-,-,-,-,-,-,0.8615921919606082,0.13357754741677963
,,,B3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25194,19.44,393,-,-,0.002775216241393652,0.0011636826908082182,3.766528051076652,1.5793520634919767,,,,-,-,,,-,-,-,-
,,,B3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25194,19.44,749,-,-,0.008187271956223485,0.0014974259554467143,11.111778975977387,2.0323089716309726,,,,-,-,,,-,-,-,-
,,,B3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25194,19.44,2024,-,-,0.13080051998694087,0.0028986762420887186,177.52268103577404,3.9340881672463346,,,,-,-,,,-,-,-,-
,,,B3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25194,19.44,734,-,-,0.0020351795113393856,0.0015152394882159941,2.7621489828795447,2.056485527628127,,,,-,-,,,-,-,-,-
,,,B3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25194,19.44,2429,-,-,0.15503796508851042,0.003175441338006909,210.4177814246532,4.3097142110069075,,,,-,-,,,-,-,-,-
,,,B3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25194,19.44,4113,-,-,0.24995568548449731,0.0039504097167798015,339.24026778924775,5.36150257034559,,,,-,-,,,-,-,-,-
,,,B3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,25194,19.44,14484,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,C1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25300,19.318,160,158.48424538517222,12.404291251689004,5.9913044348408606E-5,7.024760338767491E-4,0.08182760959149045,0.9594226978881948,-,-,-,-,-,-,-,-,-,0.009150341430815072,0.10726196017515606
,,,C1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25300,19.318,453,-,-,0.0,0.0013639419659253727,0.0,1.8628349119461138,,,,-,-,,,-,-,-,-
,,,C1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25300,19.318,937,-,-,0.0018830168522551705,0.0018054788140946876,2.571773301061208,2.4658739533634035,,,,-,-,,,-,-,-,-
,,,C1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25300,19.318,2555,-,-,0.1776192541724177,0.0034988320989361183,242.5875557555165,4.778609902595017,,,,-,-,,,-,-,-,-
,,,C1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25300,19.318,861,-,-,0.0,0.0017703290409596287,0.0,2.4178673473795858,,,,-,-,,,-,-,-,-
,,,C1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25300,19.318,2574,-,-,0.17882871356425617,0.0035533603286574417,244.2394025613073,4.853083078543221,,,,-,-,,,-,-,-,-
,,,C1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25300,19.318,4615,-,-,0.3009072793821793,0.004437587729482512,410.97099385130025,6.060736859647302,,,,-,-,,,-,-,-,-
,,,C1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,25300,19.318,13145,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,C2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25262,18.802,307,171.57841081151997,8.097914273451607,0.005375103624926492,7.657553722282335E-4,7.542640891397753,1.0745500340851886,-,-,-,-,-,-,-,-,-,1.0670421008553925,0.15198958078970923
,,,C2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25262,18.802,369,-,-,0.006620275877089077,0.0010691870148857793,9.289935046331147,1.5003419955720882,,,,-,-,,,-,-,-,-
,,,C2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25262,18.802,889,-,-,0.020675493980026383,0.0015196468110020278,29.01298974412382,2.1324519445525745,,,,-,-,,,-,-,-,-
,,,C2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25262,18.802,1710,-,-,0.10617904725791877,0.002568190972373804,148.99627607982816,3.603826753276803,,,,-,-,,,-,-,-,-
,,,C2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25262,18.802,625,-,-,0.003168540076574633,0.0013508572506109777,4.446269619207803,1.8955971545644101,,,,-,-,,,-,-,-,-
,,,C2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25262,18.802,2146,-,-,0.13153956419762042,0.002834897069032997,184.5835475901509,3.9780834097099564,,,,-,-,,,-,-,-,-
,,,C2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25262,18.802,3951,-,-,0.23018063915078663,0.0036893991827715304,323.0021265479393,5.177167750145945,,,,-,-,,,-,-,-,-
,,,C2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,25262,18.802,15265,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,C3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25262,19.174,243,157.9097129519143,9.008539192682404,0.003373997108725185,7.126938728148571E-4,4.642721378773615,0.9806881788018771,-,-,-,-,-,-,-,-,-,0.6186198564756115,0.13035332199530628
,,,C3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25262,19.174,376,-,-,0.002520688493695633,0.0011179082774066252,3.468543090521831,1.538275372436445,,,,-,-,,,-,-,-,-
,,,C3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25262,19.174,880,-,-,0.01391041618759653,0.0015767817644668045,19.141150552495404,2.1696990755028773,,,,-,-,,,-,-,-,-
,,,C3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25262,19.174,2090,-,-,0.13342894235550112,0.0029059260190108997,183.6022329773413,3.9986414981528937,,,,-,-,,,-,-,-,-
,,,C3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25262,19.174,672,-,-,0.0016332307073489705,0.0014409521169890752,2.2473745166733723,1.9827934001585357,,,,-,-,,,-,-,-,-
,,,C3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25262,19.174,2292,-,-,0.14542932399563457,0.003039537026283218,200.11511861379068,4.182494257925129,,,,-,-,,,-,-,-,-
,,,C3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25262,19.174,4067,-,-,0.24511058027883048,0.0038567076459861877,337.279521752199,5.3069455789975795,,,,-,-,,,-,-,-,-
,,,C3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,25262,19.174,14642,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,D1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25163,19.355,182,181.99999999999915,16.707543636163713,0.0,8.555077088298641E-4,0.0,1.1661955768414949,-,-,-,-,-,-,-,-,-,0.0,0.11190552480627083
,,,D1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25163,19.355,541,-,-,0.0,0.0016566287682286413,0.0,2.258253341304287,,,,-,-,,,-,-,-,-
,,,D1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25163,19.355,1123,-,-,0.0,0.0022063908621292538,0.0,3.007668122263923,,,,-,-,,,-,-,-,-
,,,D1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25163,19.355,2811,-,-,0.21513616989805473,0.004044412498773647,293.2654459617812,5.513189324083901,,,,-,-,,,-,-,-,-
,,,D1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25163,19.355,1054,-,-,0.0,0.0021269699358623727,0.0,2.899404535664833,,,,-,-,,,-,-,-,-
,,,D1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25163,19.355,2623,-,-,0.2021057665117274,0.003962258066582705,275.5028955642168,5.401199526154383,,,,-,-,,,-,-,-,-
,,,D1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25163,19.355,5118,-,-,0.36257501767093603,0.005085181310707528,494.24847668457636,6.931925791873284,,,,-,-,,,-,-,-,-
,,,D1,-,U937 cells,ABC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,25163,19.355,11711,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,D2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25307,18.564,457,250.0639018525367,10.726918471793732,0.008210645281526263,9.524513158325774E-4,11.669342011839523,1.3536670715862271,-,-,-,-,-,-,-,-,-,1.408873578089895,0.16331776673771634
,,,D2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25307,18.564,442,-,-,0.007952940124631214,0.0012481552539400263,11.303079737571101,1.7739349396656783,,,,-,-,,,-,-,-,-
