sep=,
Plate name,Plate ID,Plate type,Well,Hyperwell,Reaction Mix name,Sample name,Target names,Categories,Group,Valid partitions,Volume per well [μL],Count categories,Count random,Random variation,Lambda,Lambda error,Conc. per group [cp/µl],Conc. per group error,Concentration factor,Template volume [µl],Total volume [µl],Undiluted Conc. per group [cp/µl],Undiluted Conc. per group [cp/µl] error,Conversion factor,Conversion factor unit,Conv. Undiluted Conc. per group,Conv. Undiluted Conc. per group error,% intact,% intact error,CXT matrix RM template name,CXT matrix RM template ID,REF
,,,B1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+-+,25109,19.49,1288,-,-,0,0.002397213,0,3.245155148,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+--,25109,19.49,2772,-,-,0.22260374,0.004191258,301.3431033,5.673788508,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,-++,25109,19.49,1184,-,-,0,0.002347022,0,3.17721026,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,-+-,25109,19.49,2740,-,-,0.220297267,0.004238155,298.2207842,5.737275106,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,--+,25109,19.49,5193,-,-,0.38327431,0.00532163,518.8460443,7.203996865,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,---,25109,19.49,11118,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+++,25240,18.76,579,277.7499444,12.46361949,0.012007221,0.001093438,16.88691493,1.537807993,-,-,-,-,-,-,-,-,-,1.886106783,0.171132309,,,Std-Ref
,,,B2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,++-,25240,18.76,513,-,-,0.007318268,0.001396033,10.29238661,1.96337556,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+-+,25240,18.76,1087,-,-,0.023300464,0.001866462,32.76969313,2.62498533,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+--,25240,18.76,1934,-,-,0.135252242,0.003072597,190.218291,4.32129001,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,-++,25240,18.76,929,-,-,0.00478594,0.001788012,6.730929313,2.514654507,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,-+-,25240,18.76,2615,-,-,0.178833377,0.003523496,251.5106519,4.95543222,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,--+,25240,18.76,4229,-,-,0.275116561,0.004213725,386.9229924,5.926168638,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,---,25240,18.76,13354,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+++,25183,19.44,229,143.4689779,8.966460222,0.00340216,6.98E-04,4.617417392,0.947933956,-,-,-,-,-,-,-,-,-,0.621500753,0.127365363,,,Std-Ref
,,,B3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,++-,25183,19.44,361,-,-,0.001936015,0.001125813,2.627562517,1.527955374,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+-+,25183,19.44,798,-,-,0.009864825,0.001538152,13.38855694,2.087581799,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+--,25183,19.44,2044,-,-,0.13130643,0.002920629,178.209303,3.963882802,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,-++,25183,19.44,700,-,-,0.001770753,0.001478137,2.403268896,2.006129352,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,-+-,25183,19.44,2307,-,-,0.147015279,0.003081745,199.529379,4.182549165,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,--+,25183,19.44,4177,-,-,0.252115005,0.003883513,342.1708994,5.270710179,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,---,25183,19.44,14567,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+++,25309,19.318,148,148,12.26093234,0,6.78E-04,0,0.926640705,-,-,-,-,-,-,-,-,-,0,0.10455477,,,Std-Ref
,,,C1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,++-,25309,19.318,434,-,-,0,0.001355588,0,1.851425717,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+-+,25309,19.318,907,-,-,0.00140489,0.001787965,1.918760799,2.441954253,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+--,25309,19.318,2495,-,-,0.17280081,0.003466478,236.006656,4.734421431,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,-++,25309,19.318,863,-,-,0,0.001769327,0,2.416498763,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,-+-,25309,19.318,2585,-,-,0.17850895,0.003536737,243.8026787,4.830380035,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,--+,25309,19.318,4650,-,-,0.301254775,0.004414527,411.4455945,6.029241442,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,---,25309,19.318,13227,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+++,25259,18.802,292,173.5671993,8.202337683,0.004699763,7.55E-04,6.594966253,1.060033504,-,-,-,-,-,-,-,-,-,0.934046796,0.150200357,,,Std-Ref
,,,C2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,++-,25259,18.802,360,-,-,0.006347936,0.001078771,8.907772233,1.513790235,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+-+,25259,18.802,920,-,-,0.021911953,0.001545368,30.7480572,2.168545227,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+--,25259,18.802,1717,-,-,0.106544989,0.002604001,149.5097862,3.654077619,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,-++,25259,18.802,625,-,-,0.003548902,0.001336143,4.98001481,1.874949543,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,-+-,25259,18.802,2107,-,-,0.129241494,0.002815499,181.3587697,3.950863482,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,--+,25259,18.802,3966,-,-,0.230866403,0.00367185,323.9644285,5.152542323,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,---,25259,18.802,15272,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+++,25254,19.174,267,162.8822635,9.276187462,0.004131344,7.45E-04,5.684853253,1.025216909,-,-,-,-,-,-,-,-,-,0.748974902,0.134877749,,,Std-Ref
,,,C3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,++-,25254,19.174,390,-,-,0.002748264,0.001167614,3.781694116,1.606671783,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+-+,25254,19.174,865,-,-,0.01316918,0.001577193,18.12118692,2.170264474,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+--,25254,19.174,2094,-,-,0.134484743,0.002969427,185.0550463,4.086020545,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,-++,25254,19.174,701,-,-,0.002291443,0.001473605,3.153093742,2.027724457,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,-+-,25254,19.174,2340,-,-,0.149159308,0.003092342,205.2476891,4.255155311,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,--+,25254,19.174,4050,-,-,0.245615491,0.003852336,337.9742935,5.300930403,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,C3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,---,25254,19.174,14547,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+++,25171,19.355,195,195,17.11944393,0,8.78E-04,0,1.197382574,-,-,-,-,-,-,-,-,-,0,0.114592337,,,Std-Ref
,,,D1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,++-,25171,19.355,553,-,-,0,0.00168847,0,2.301657467,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+-+,25171,19.355,1080,-,-,0,0.002155364,0,2.938110012,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+--,25171,19.355,2732,-,-,0.20997244,0.003993919,286.226446,5.444358699,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,-++,25171,19.355,1109,-,-,0,0.002170979,0,2.959396061,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,-+-,25171,19.355,2706,-,-,0.208168388,0.004038729,283.76723,5.505441871,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,--+,25171,19.355,5103,-,-,0.362150391,0.005063394,493.6696413,6.90222595,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,---,25171,19.355,11693,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+++,25306,18.564,445,249.7649484,10.80500057,0.007744885,9.46E-04,11.00738258,1.344356404,-,-,-,-,-,-,-,-,-,1.329689257,0.162329144,,,Std-Ref
,,,D2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,++-,25306,18.564,438,-,-,0.007763828,0.00125187,11.0343054,1.779214996,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+-+,25306,18.564,1133,-,-,0.02852986,0.001777807,40.54793272,2.52669963,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+--,25306,18.564,1772,-,-,0.118113154,0.002812125,167.8677797,3.996719843,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,-++,25306,18.564,784,-,-,0.003658799,0.001571703,5.200050762,2.23377529,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,-+-,25306,18.564,2341,-,-,0.153260838,0.003197802,217.8212644,4.544861415,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,--+,25306,18.564,4259,-,-,0.263386915,0.00400167,374.3374472,5.687355689,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,---,25306,18.564,14134,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
