sep=,
Plate name,Plate ID,Plate type,Well,Hyperwell,Reaction Mix name,Sample name,Target names,Categories,Group,Valid partitions,Volume per well [μL],Count categories,Count random,Random variation,Lambda,Lambda error,Conc. per group [cp/µl],Conc. per group error,Concentration factor,Template volume [µl],Total volume [µl],Undiluted Conc. per group [cp/µl],Undiluted Conc. per group [cp/µl] error,Conversion factor,Conversion factor unit,Conv. Undiluted Conc. per group,Conv. Undiluted Conc. per group error,% intact,% intact error
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,++-,25113,19.49,564,-,-,0.0,0.0017659211845651405,0.0,2.3905625722712505,,,,-,-,,,-,-,-,-
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,+-+,25113,19.49,1302,-,-,0.0,0.002375057205075862,0.0,3.2151620984464624,,,,-,-,,,-,-,-,-
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,+--,25113,19.49,2789,-,-,0.22282132292310064,0.00426595531646948,301.63764925618716,5.774908418149347,,,,-,-,,,-,-,-,-
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,-++,25113,19.49,1159,-,-,0.0,0.002307068983963972,0.0,3.123125093530295,,,,-,-,,,-,-,-,-
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,-+-,25113,19.49,2691,-,-,0.21577802803078439,0.004164256747261759,292.10300110642464,5.637237045651835,,,,-,-,,,-,-,-,-
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,--+,25113,19.49,5219,-,-,0.38326476340736215,0.005297539886821241,518.8331204586888,7.171384934524968,,,,-,-,,,-,-,-,-
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,---,25113,19.49,11174,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,B2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,+++,25235,18.76,554,271.62535792068036,12.281985048154395,0.011252878364075597,0.0010626727669794016,15.826009741885423,1.494539354156958,-,-,-,-,-,-,-,-,-,1.7706631091927307,0.16671140588536143
,,,B2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,++-,25235,18.76,492,-,-,0.0060980238979967405,0.0013798708112740972,8.576240006649574,1.9406456015274935,,,,-,-,,,-,-,-,-
,,,B2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,+-+,25235,18.76,1141,-,-,0.02486130298292355,0.001882091455209133,34.96485170050399,2.6469670018250406,,,,-,-,,,-,-,-,-
,,,B2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,+--,25235,18.76,1987,-,-,0.13859672558788377,0.003121899058699117,194.92196204214954,4.390628185752532,,,,-,-,,,-,-,-,-
,,,B2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,-++,25235,18.76,889,-,-,0.003621741380734428,0.0017349079736110628,5.093604722243984,2.439968655424002,,,,-,-,,,-,-,-,-
,,,B2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,-+-,25235,18.76,2557,-,-,0.17505043578541063,0.0035230516387774707,246.19033570161375,4.9548078058371425,,,,-,-,,,-,-,-,-
,,,B2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,--+,25235,18.76,4249,-,-,0.27603664270432265,0.004227227147162867,388.2169925965271,5.945157838525858,,,,-,-,,,-,-,-,-
,,,B2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,---,25235,18.76,13366,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,B3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,+++,25194,19.44,268,148.12480560567798,9.073538696557039,0.004769440757811466,7.458786906717232E-4,6.47309284743301,1.0123077867635157,-,-,-,-,-,-,-,-,-,0.8615921919606082,0.1342914837953789
,,,B3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,++-,25194,19.44,393,-,-,0.002775216241393652,0.0011657104733908833,3.766528051076652,1.5821041733510834,,,,-,-,,,-,-,-,-
,,,B3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,+-+,25194,19.44,749,-,-,0.008187271956223485,0.0015088311115228007,11.111778975977387,2.0477880682313567,,,,-,-,,,-,-,-,-
,,,B3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,+--,25194,19.44,2024,-,-,0.13080051998694087,0.002908466395795487,177.52268103577404,3.94737537997264,,,,-,-,,,-,-,-,-
,,,B3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,-++,25194,19.44,734,-,-,0.0020351795113393856,0.0015030838946839718,2.7621489828795447,2.039987936077259,,,,-,-,,,-,-,-,-
,,,B3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,-+-,25194,19.44,2429,-,-,0.15503796508851042,0.0031629736659682236,210.4177814246532,4.292793065993087,,,,-,-,,,-,-,-,-
,,,B3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,--+,25194,19.44,4113,-,-,0.24995568548449731,0.0038938221273849072,339.24026778924775,5.284701800870544,,,,-,-,,,-,-,-,-
,,,B3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,---,25194,19.44,14484,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
